	wa1	wa2	wa3	wa4	wb1	wb2	wb3	wb4	wc1	wc2	wc3	wc4	wd1	wd2	wd3	wd4
wa1	0	0.196789360602586	0.114882648344489	0.204126775318581	0.686132382751485	0.706056422867311	0.676106512196907	0.630194408289895	0.752369905664027	0.730250950104881	0.716936921278109	0.697541676059225	0.771584658497539	0.767698387140463	0.728842266411349	0.763045691793543
wa2	0.196789360602586	0	0.193745563921235	0.256740056488292	0.804622728935342	0.81258246764388	0.789129848032273	0.718313609583545	0.868185057738774	0.848174044857256	0.823771556632711	0.808299238858663	0.884469971237333	0.875007793878071	0.870089433207586	0.85535452564494
wa3	0.114882648344489	0.193745563921235	0	0.132916855037581	0.713543106981314	0.728582347295343	0.699408030931185	0.660974460906938	0.762652343253019	0.750106446468422	0.735348005522153	0.718670841055202	0.797177796077609	0.79518712996493	0.75197573536264	0.780554296618927
wa4	0.204126775318581	0.256740056488292	0.132916855037581	0	0.747467606375035	0.759360742002336	0.732697269001653	0.674913228931834	0.800472357957181	0.778139918507605	0.759894534037726	0.74404337176637	0.813749856634616	0.81113759549697	0.783599855670464	0.798070919665817
wb1	0.686132382751485	0.804622728935342	0.713543106981314	0.747467606375035	0	0.115221394223883	0.0999414641943822	0.140869982435591	0.301824719456558	0.262026106973251	0.262212726338198	0.234508468421952	0.382827124589414	0.377658565392845	0.291466557285481	0.358995727793713
wb2	0.706056422867311	0.81258246764388	0.728582347295343	0.759360742002336	0.115221394223883	0	0.14970465783844	0.172424994664415	0.300003048300171	0.271178016921227	0.264965925813673	0.283725584697977	0.430958146327598	0.433474506612476	0.350808174092827	0.422724209169443
wb3	0.676106512196907	0.789129848032273	0.699408030931185	0.732697269001653	0.0999414641943822	0.14970465783844	0	0.180429736607591	0.300671773583728	0.269903924889591	0.257271319427751	0.235841896875711	0.375504639016071	0.369642362425719	0.28478993400403	0.342313789975376
wb4	0.630194408289895	0.718313609583545	0.660974460906938	0.674913228931834	0.140869982435591	0.172424994664415	0.180429736607591	0	0.368785486268068	0.308527319482624	0.293221699985995	0.260635078533524	0.398551587446638	0.378046818249751	0.322510947646941	0.365431234032539
wc1	0.752369905664027	0.868185057738774	0.762652343253019	0.800472357957181	0.301824719456558	0.300003048300171	0.300671773583728	0.368785486268068	0	0.11357091760259	0.12520058442399	0.171899078798834	0.365815249239742	0.367536209007871	0.240531040290956	0.327729896599934
wc2	0.730250950104881	0.848174044857256	0.750106446468422	0.778139918507605	0.262026106973251	0.271178016921227	0.269903924889591	0.308527319482624	0.11357091760259	0	0.0927368418244455	0.11641850094532	0.320728080821259	0.314089775070341	0.188609427162703	0.274826690199251
wc3	0.716936921278109	0.823771556632711	0.735348005522153	0.759894534037726	0.262212726338198	0.264965925813673	0.257271319427751	0.293221699985995	0.12520058442399	0.0927368418244455	0	0.105822482974641	0.34909164496987	0.340996174081472	0.226383274048209	0.306643451691886
wc4	0.697541676059225	0.808299238858663	0.718670841055202	0.74404337176637	0.234508468421952	0.283725584697977	0.235841896875711	0.260635078533524	0.171899078798834	0.11641850094532	0.105822482974641	0	0.311297114705548	0.293405675947265	0.184231646330134	0.247970731966551
wd1	0.771584658497539	0.884469971237333	0.797177796077609	0.813749856634616	0.382827124589414	0.430958146327598	0.375504639016071	0.398551587446638	0.365815249239742	0.320728080821259	0.34909164496987	0.311297114705548	0	0.161116233405952	0.228936642844624	0.264582572570713
wd2	0.767698387140463	0.875007793878071	0.79518712996493	0.81113759549697	0.377658565392845	0.433474506612476	0.369642362425719	0.378046818249751	0.367536209007871	0.314089775070341	0.340996174081472	0.293405675947265	0.161116233405952	0	0.201785688434631	0.1579762512044
wd3	0.728842266411349	0.870089433207586	0.75197573536264	0.783599855670464	0.291466557285481	0.350808174092827	0.28478993400403	0.322510947646941	0.240531040290956	0.188609427162703	0.226383274048209	0.184231646330134	0.228936642844624	0.201785688434631	0	0.131913959883964
wd4	0.763045691793543	0.85535452564494	0.780554296618927	0.798070919665817	0.358995727793713	0.422724209169443	0.342313789975376	0.365431234032539	0.327729896599934	0.274826690199251	0.306643451691886	0.247970731966551	0.264582572570713	0.1579762512044	0.131913959883964	0
