	ba1	ba2	ba3	ba4	bb1	bb2	bb3	bb4	bc2	bc3	bc4	bc5	bd1	bd2	bd3	bd4
ba1	0	0.208534316631819	0.187441113000603	0.414053982417777	0.606239141464554	0.659226412460443	0.57748999278779	0.648270379290095	0.651790450752139	0.663368941748885	0.68640996062272	0.729864104666112	0.560563480512458	0.580471009110795	0.591539302100557	0.668799503506467
ba2	0.208534316631819	0	0.168331584430781	0.293553710279977	0.633716599632162	0.685699252496317	0.592314399338981	0.692009057557746	0.675323090972553	0.682759312003435	0.704700881331597	0.748322014516994	0.573547334903567	0.591772113772437	0.602927837965543	0.715312823758019
ba3	0.187441113000603	0.168331584430781	0	0.301455183611616	0.61453111358689	0.65679701923265	0.572619609107781	0.674845565477035	0.65337458524346	0.657408580948278	0.682483959575216	0.723661667068133	0.574063116882333	0.578192694713995	0.585684914141099	0.695877681335052
ba4	0.414053982417777	0.293553710279977	0.301455183611616	0	0.658432133469071	0.685396385833011	0.603325577743227	0.723138441943883	0.720241101162573	0.686032916487513	0.725766361407626	0.761725887711993	0.675312331801657	0.658108891014691	0.663971982395822	0.740351830779433
bb1	0.606239141464554	0.633716599632162	0.61453111358689	0.658432133469071	0	0.196230261390684	0.293944255730907	0.191063880747837	0.369493063569207	0.424650214978197	0.394670108010717	0.418432478554966	0.284285943728622	0.315514297769465	0.344326601048492	0.208177858187041
bb2	0.659226412460443	0.685699252496317	0.65679701923265	0.685396385833011	0.196230261390684	0	0.246153839293927	0.261919096187857	0.390748348644583	0.461236397249085	0.423127261620778	0.441707804250147	0.371951645113914	0.397959037460635	0.407785155239719	0.370790866171183
bb3	0.57748999278779	0.592314399338981	0.572619609107781	0.603325577743227	0.293944255730907	0.246153839293927	0	0.413805440539009	0.298426585522637	0.363377504172178	0.343097767251341	0.362601610063961	0.319573863079598	0.302390498202905	0.281335441959162	0.428125424114485
bb4	0.648270379290095	0.692009057557746	0.674845565477035	0.723138441943883	0.191063880747837	0.261919096187857	0.413805440539009	0	0.499145708944747	0.548154496036353	0.520480479516173	0.544063495231686	0.420404070258524	0.462332727954045	0.490603981373087	0.308832596048018
bc2	0.651790450752139	0.675323090972553	0.65337458524346	0.720241101162573	0.369493063569207	0.390748348644583	0.298426585522637	0.499145708944747	0	0.154798437293225	0.15668313510075	0.17293868617262	0.185368224395008	0.159139495042546	0.159290540936138	0.357054437734667
bc3	0.663368941748885	0.682759312003435	0.657408580948278	0.686032916487513	0.424650214978197	0.461236397249085	0.363377504172178	0.548154496036353	0.154798437293225	0	0.132397595415058	0.14816029843942	0.248458492249902	0.250778260372743	0.226396573607888	0.397754703933651
bc4	0.68640996062272	0.704700881331597	0.682483959575216	0.725766361407626	0.394670108010717	0.423127261620778	0.343097767251341	0.520480479516173	0.15668313510075	0.132397595415058	0	0.0822739396119372	0.233562559990033	0.22631259508776	0.208442342679232	0.367084248045317
bc5	0.729864104666112	0.748322014516994	0.723661667068133	0.761725887711993	0.418432478554966	0.441707804250147	0.362601610063961	0.544063495231686	0.17293868617262	0.14816029843942	0.0822739396119372	0	0.253767710153935	0.241701147327039	0.22385509657746	0.387618098911669
bd1	0.560563480512458	0.573547334903567	0.574063116882333	0.675312331801657	0.284285943728622	0.371951645113914	0.319573863079598	0.420404070258524	0.185368224395008	0.248458492249902	0.233562559990033	0.253767710153935	0	0.0806608069893652	0.136071680452959	0.255964323509587
bd2	0.580471009110795	0.591772113772437	0.578192694713995	0.658108891014691	0.315514297769465	0.397959037460635	0.302390498202905	0.462332727954045	0.159139495042546	0.250778260372743	0.22631259508776	0.241701147327039	0.0806608069893652	0	0.0834627966664484	0.285777988465862
bd3	0.591539302100557	0.602927837965543	0.585684914141099	0.663971982395822	0.344326601048492	0.407785155239719	0.281335441959162	0.490603981373087	0.159290540936138	0.226396573607888	0.208442342679232	0.22385509657746	0.136071680452959	0.0834627966664484	0	0.30958202511906
bd4	0.668799503506467	0.715312823758019	0.695877681335052	0.740351830779433	0.208177858187041	0.370790866171183	0.428125424114485	0.308832596048018	0.357054437734667	0.397754703933651	0.367084248045317	0.387618098911669	0.255964323509587	0.285777988465862	0.30958202511906	0
